"index";"Company";"TypeName";"Inches";"screen_type";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_model";"cpu_speed";"Ram";"Gpu";"storage_type";"primary_storage";"secondary_storage";"OpSys";"Weight";"Price"
109;"MSI";"Gaming";17.3;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"Hybrid";256;1024;"Windows";2.7;63883.0
110;"Dell";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i5";2.0;8;"AMD";"HDD";1024;0;"Windows";2.36;34045.0
111;"Acer";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i3";2.0;4;"Intel";"HDD";1024;0;"Linux";2.1;19554.0
112;"Dell";"Notebook";17.3;"IPS Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"AMD";"Hybrid";128;1024;"Windows";2.8;52161.0
113;"Toshiba";"Notebook";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i5";2.0;8;"Intel";"SSD";256;0;"Windows";2.0;50243.0
114;"Dell";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"AMD";"HDD";1024;0;"Windows";2.2;23923.0
115;"Asus";"Notebook";14.0;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Intel";"Hybrid";256;1024;"Windows";2.0;71076.0
116;"Acer";"Ultrabook";14.0;"IPS Full HD";1920;1080;0;"Intel";"Core i7";1.0;8;"Intel";"SSD";256;0;"Windows";1.6;47100.0
117;"Lenovo";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"Intel";"HDD";1024;0;"Windows";1.85;23923.0
118;"Acer";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"Nvidia";"SSD";256;0;"Windows";7.2;30476.0
119;"HP";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i5";2.0;4;"Intel";"HDD";1024;0;"Windows";1.86;26037.0
120;"Asus";"Gaming";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"SSD";256;0;"Windows";2.5;53227.0
121;"HP";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"Nvidia";"SSD";256;0;"Windows";2.1;46833.0
122;"Asus";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"Intel";"HDD";1024;0;"Linux";2.0;20726.0
123;"HP";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i7";2.0;8;"Intel";"HDD";1024;0;"Windows";2.05;31861.0
124;"HP";"Notebook";14.0;"Full HD";1920;1080;0;"Intel";"Core i5";2.0;8;"Intel";"SSD";256;0;"Windows";1.48;67559.0
125;"Dell";"Gaming";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i7";2.0;16;"Nvidia";"Hybrid";256;1024;"Windows";2.65;79867.0
126;"HP";"Notebook";14.0;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;8;"Intel";"SSD";256;0;"Windows";1.63;52641.0
127;"HP";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";2.0;8;"Intel";"SSD";256;0;"Windows";1.84;60952.0
128;"Lenovo";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Celeron";1.0;4;"Intel";"HDD";1024;0;"No OS";1.9;13446.0
129;"Asus";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i5";2.0;8;"Nvidia";"HDD";1024;0;"Linux";2.3;27865.0
130;"Asus";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Celeron";1.0;4;"Intel";"HDD";1024;0;"Linux";2.0;14651.0
131;"Asus";"Gaming";17.3;"Full HD";1920;1080;0;"Intel";"Core i5";2.0;8;"Nvidia";"Hybrid";128;1024;"Windows";3.0;49977.0
132;"Acer";"Notebook";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i5";1.0;4;"Intel";"SSD";256;0;"Windows";2.2;36337.0
133;"Dell";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"Nvidia";"SSD";256;0;"Windows";2.0;60886.0
134;"Lenovo";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";2.0;4;"Nvidia";"HDD";1024;0;"No OS";2.2;26587.0
135;"Dell";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Celeron";1.0;4;"Intel";"HDD";500;0;"Linux";2.2;14647.0
136;"HP";"Notebook";13.3;"IPS Full HD";1920;1080;0;"Intel";"Core i5";2.0;4;"Intel";"SSD";256;0;"Windows";1.32;37243.0
137;"Dell";"2 in 1 Convertible";17.3;"Full HD";1920;1080;1;"Intel";"Core i5";1.0;12;"Nvidia";"HDD";1024;0;"Windows";2.77;53227.0
138;"Acer";"Notebook";17.3;"IPS Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"Nvidia";"HDD";1024;0;"Windows";3.0;34898.0
139;"Lenovo";"Notebook";15.6;"Full HD";1920;1080;0;"AMD";"A12-Series";3.0;12;"AMD";"HDD";2048;0;"Windows";2.2;47899.0
140;"Apple";"Ultrabook";13.3;"IPS Retina";2560;1600;0;"Intel";"Core i5";2.0;8;"Intel";"SSD";256;0;"macOS";1.37;75604.0
141;"Lenovo";"Notebook";14.0;"IPS Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"AMD";"SSD";256;0;"Windows";1.75;59462.0
142;"HP";"Notebook";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i3";2.0;8;"Nvidia";"HDD";1024;0;"Windows";2.1;38148.0
143;"Asus";"Gaming";17.3;"Full HD";1920;1080;0;"AMD";"Ryzen";3.0;8;"AMD";"Hybrid";256;1024;"Windows";3.2;69211.0
144;"Dell";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";2.0;4;"AMD";"SSD";256;0;"Windows";2.3;34046.0
145;"Lenovo";"Gaming";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"SSD";256;0;"No OS";2.4;46300.0
146;"Lenovo";"2 in 1 Convertible";13.9;"IPS 4K";3840;2160;1;"Intel";"Core i7";1.0;16;"Intel";"SSD";512;0;"Windows";1.4;111835.0
147;"Toshiba";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i5";2.0;4;"Intel";"HDD";500;0;"Windows";2.1;32075.0
148;"Dell";"Ultrabook";13.3;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;8;"Intel";"SSD";256;0;"Windows";1.2;84129.0
149;"Asus";"Notebook";17.3;"Standard";1366;768;0;"Intel";"Pentium";1.0;4;"Nvidia";"HDD";1024;0;"Windows";2.8;24828.0
150;"HP";"Notebook";15.6;"Standard";1366;768;0;"AMD";"A6-Series";2.0;4;"AMD";"SSD";256;0;"Windows";1.86;19660.0
151;"Lenovo";"Gaming";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i7";2.0;16;"Nvidia";"Hybrid";256;2048;"Windows";2.4;60153.0
152;"Asus";"Ultrabook";14.0;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;8;"Intel";"SSD";256;0;"Windows";1.25;58555.0
153;"HP";"Notebook";14.0;"Standard";1366;768;0;"Intel";"Celeron";1.0;2;"Intel";"SSD";32;0;"Windows";1.44;14865.0
154;"Acer";"Notebook";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i7";1.0;8;"Nvidia";"SSD";256;0;"Windows";2.2;44808.0
155;"HP";"Notebook";15.6;"Full HD";1920;1080;0;"AMD";"A6-Series";2.0;4;"AMD";"SSD";256;0;"Windows";1.86;21232.0
156;"HP";"Notebook";13.3;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;8;"Intel";"SSD";512;0;"Windows";1.49;58768.0
157;"Dell";"Ultrabook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;16;"Intel";"SSD";512;256;"Windows";1.88;85672.0
158;"HP";"Ultrabook";12.5;"IPS 4K";3840;2160;1;"Intel";"Core M";1.0;8;"Intel";"SSD";512;0;"Windows";0.97;107306.0
159;"Acer";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i3";2.0;4;"Intel";"HDD";1024;0;"Windows";2.4;20460.0
160;"Dell";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;8;"AMD";"SSD";256;0;"Windows";2.13;40908.0
161;"Asus";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Celeron";1.0;4;"Intel";"HDD";1024;0;"Windows";2.0;18328.0
162;"Asus";"2 in 1 Convertible";11.6;"Standard";1366;768;1;"Intel";"Celeron";1.0;4;"Intel";"SSD";32;0;"Windows";1.5;19980.0
163;"Acer";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i3";2.0;4;"Intel";"HDD";1024;0;"Windows";2.1;23816.0
164;"Dell";"Ultrabook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"AMD";"HDD";1024;0;"Windows";0.0;35325.0
165;"HP";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"Intel";"SSD";128;0;"Windows";1.91;23390.0
166;"Dell";"Gaming";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;16;"Nvidia";"SSD";512;0;"Windows";2.56;66561.0
167;"HP";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Intel";"SSD";256;0;"Windows";1.84;69477.0
168;"Dell";"Gaming";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"Hybrid";10240;0;"Windows";2.62;47899.0
169;"MSI";"Gaming";17.3;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"Hybrid";128;1024;"Windows";2.7;75072.0
170;"Lenovo";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i5";2.0;4;"Intel";"SSD";128;0;"Windows";1.9;26533.0
171;"HP";"Workstation";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"SSD";256;0;"Windows";2.6;92615.0
172;"Asus";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i5";2.0;4;"Intel";"SSD";256;0;"Windows";2.0;31232.0
173;"MSI";"Gaming";17.3;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;16;"Nvidia";"Hybrid";256;2048;"Windows";2.43;130483.0
174;"Asus";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"Intel";"SSD";256;0;"Linux";2.0;22111.0
175;"MSI";"Gaming";17.3;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;16;"Nvidia";"Hybrid";256;1024;"Windows";2.8;100699.0
